Designator,Mid X,Mid Y,Rotation,Layer
BZ1,119.7,-132.5,180.0,bottom
C1,63.0,-91.0,0.0,bottom
C2,63.0,-88.5,180.0,bottom
D1,94.0,-88.5,0.0,bottom
Q1,64.4375,-121.5,180.0,bottom
R1,123.5,-87.55,270.0,bottom
R2,130.0,-88.5,180.0,bottom
R3,69.0,-87.5,180.0,bottom
R4,106.5,-131.75,90.0,bottom
R5,69.25,-123.75,90.0,bottom
R6,73.75,-120.5,0.0,bottom
SW1,128.25,-154.5,180.0,top
SW2,70.42,-156.59,180.0,top
SW3,89.48,-156.59,180.0,top
SW4,108.58,-156.59,180.0,top
U1,92.44,-117.5,270.0,top
U2,102.03,-104.92816,270.0,bottom
U3,117.9,-88.55,270.0,bottom
U4,55.5,-88.5,180.0,bottom
